"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"96",2001,2,4,"West",5,66,"Cincinnati","Kent St",43,13,1
"97",2001,3,1,"Midwest",1,80,"Illinois","Kansas",64,4,1
"98",2001,3,1,"Midwest",4,64,"Kansas","Illinois",80,1,0
"99",2001,3,1,"Midwest",2,66,"Arizona","Ole Miss",56,3,1
"100",2001,3,1,"Midwest",3,56,"Ole Miss","Arizona",66,2,0
"101",2001,3,2,"South",1,77,"Michigan St","Gonzaga",62,12,1
"102",2001,3,2,"South",12,62,"Gonzaga","Michigan St",77,1,0
"103",2001,3,2,"South",7,72,"Penn St","Temple",84,11,0
"104",2001,3,2,"South",11,84,"Temple","Penn St",72,7,1
"105",2001,3,3,"East",1,76,"Duke","UCLA",63,4,1
"106",2001,3,3,"East",4,63,"UCLA","Duke",76,1,0
"107",2001,3,3,"East",2,76,"Kentucky","USC",80,6,0
"108",2001,3,3,"East",6,80,"USC","Kentucky",76,2,1
"109",2001,3,4,"West",1,78,"Stanford","Cincinnati",65,5,1
"110",2001,3,4,"West",5,65,"Cincinnati","Stanford",78,1,0
"111",2001,3,4,"West",10,66,"Georgetown","Maryland",76,3,0
"112",2001,3,4,"West",3,76,"Maryland","Georgetown",66,10,1
"113",2001,4,1,"Midwest",1,81,"Illinois","Arizona",87,2,0
"114",2001,4,1,"Midwest",2,87,"Arizona","Illinois",81,1,1
"115",2001,4,2,"South",1,69,"Michigan St","Temple",62,11,1
"116",2001,4,2,"South",11,62,"Temple","Michigan St",69,1,0
"117",2001,4,3,"East",1,79,"Duke","USC",69,6,1
"118",2001,4,3,"East",6,69,"USC","Duke",79,1,0
"119",2001,4,4,"West",1,73,"Stanford","Maryland",87,3,0
"120",2001,4,4,"West",3,87,"Maryland","Stanford",73,1,1
"121",2001,5,1,"Final Four",2,80,"Arizona","Michigan St",61,1,1
"122",2001,5,1,"Final Four",1,61,"Michigan St","Arizona",80,2,0
"123",2001,5,2,"Final Four",1,95,"Duke","Maryland",84,3,1
"124",2001,5,2,"Final Four",3,84,"Maryland","Duke",95,1,0
"125",2001,6,1,"Championship",2,72,"Arizona","Duke",82,1,0
"126",2001,6,1,"Championship",1,82,"Duke","Arizona",72,2,1
"127",2002,1,1,"South",1,84,"Duke","Winthrop",37,16,1
"128",2002,1,1,"South",16,37,"Winthrop","Duke",84,1,0
"129",2002,1,1,"South",2,86,"Alabama","Florida Atlantic",78,15,1
"130",2002,1,1,"South",15,78,"Florida Atlantic","Alabama",86,2,0
"131",2002,1,1,"South",3,71,"Pittsburgh","Central Connecticut St",54,14,1
"132",2002,1,1,"South",14,54,"Central Connecticut St","Pittsburgh",71,3,0
"133",2002,1,1,"South",4,89,"USC","UNC Wilmington",93,13,0
"134",2002,1,1,"South",13,93,"UNC Wilmington","USC",89,4,1
"135",2002,1,1,"South",5,75,"Indiana","Utah",56,12,1
"136",2002,1,1,"South",12,56,"Utah","Indiana",75,5,0
"137",2002,1,1,"South",6,82,"California","Pennsylvania",75,11,1
"138",2002,1,1,"South",11,75,"Pennsylvania","California",82,6,0
"139",2002,1,1,"South",7,61,"Oklahoma St","Kent St",69,10,0
"140",2002,1,1,"South",10,69,"Kent St","Oklahoma St",61,7,1
"141",2002,1,1,"South",8,82,"Notre Dame","Charlotte",63,9,1
"142",2002,1,1,"South",9,63,"Charlotte","Notre Dame",82,8,0
"143",2002,1,2,"West",1,90,"Cincinnati","Boston University",52,16,1
"144",2002,1,2,"West",16,52,"Boston University","Cincinnati",90,1,0
"145",2002,1,2,"West",2,71,"Oklahoma","Illinois Chicago",63,15,1
"146",2002,1,2,"West",15,63,"Illinois Chicago","Oklahoma",71,2,0
"147",2002,1,2,"West",3,86,"Arizona","Santa Barbara",81,14,1
"148",2002,1,2,"West",14,81,"Santa Barbara","Arizona",86,3,0
"149",2002,1,2,"West",4,69,"Ohio St","Davidson",64,13,1
"150",2002,1,2,"West",13,64,"Davidson","Ohio St",69,4,0
"151",2002,1,2,"West",5,80,"Miami","Missouri",93,12,0
"152",2002,1,2,"West",12,93,"Missouri","Miami",80,5,1
"153",2002,1,2,"West",6,66,"Gonzaga","Wyoming",73,11,0
"154",2002,1,2,"West",11,73,"Wyoming","Gonzaga",66,6,1
"155",2002,1,2,"West",7,70,"Xavier","Hawaii",58,10,1
"156",2002,1,2,"West",10,58,"Hawaii","Xavier",70,7,0
"157",2002,1,2,"West",8,80,"UCLA","Ole Miss",58,9,1
"158",2002,1,2,"West",9,58,"Ole Miss","UCLA",80,8,0
"159",2002,1,3,"East",1,85,"Maryland","Siena",70,16,1
"160",2002,1,3,"East",16,70,"Siena","Maryland",85,1,0
"161",2002,1,3,"East",2,78,"Connecticut","Hampton",67,15,1
"162",2002,1,3,"East",15,67,"Hampton","Connecticut",78,2,0
"163",2002,1,3,"East",3,85,"Georgia","Murray St",68,14,1
"164",2002,1,3,"East",14,68,"Murray St","Georgia",85,3,0
"165",2002,1,3,"East",4,83,"Kentucky","Valparaiso",68,13,1
"166",2002,1,3,"East",13,68,"Valparaiso","Kentucky",83,4,0
"167",2002,1,3,"East",5,69,"Marquette","Tulsa",71,12,0
"168",2002,1,3,"East",12,71,"Tulsa","Marquette",69,5,1
"169",2002,1,3,"East",6,68,"Texas Tech","Southern Illinois",76,11,0
"170",2002,1,3,"East",11,76,"Southern Illinois","Texas Tech",68,6,1
"171",2002,1,3,"East",7,69,"NC State","Michigan St",58,10,1
"172",2002,1,3,"East",10,58,"Michigan St","NC State",69,7,0
"173",2002,1,3,"East",8,80,"Wisconsin","St Johns",70,9,1
"174",2002,1,3,"East",9,70,"St Johns","Wisconsin",80,8,0
"175",2002,1,4,"Midwest",1,70,"Kansas","Holy Cross",59,16,1
"176",2002,1,4,"Midwest",16,59,"Holy Cross","Kansas",70,1,0
"177",2002,1,4,"Midwest",2,81,"Oregon","Montana",62,15,1
"178",2002,1,4,"Midwest",15,62,"Montana","Oregon",81,2,0
"179",2002,1,4,"Midwest",3,70,"Mississippi St","McNeese St",58,14,1
"180",2002,1,4,"Midwest",14,58,"McNeese St","Mississippi St",70,3,0
"181",2002,1,4,"Midwest",4,93,"Illinois","San Diego St",64,13,1
"182",2002,1,4,"Midwest",13,64,"San Diego St","Illinois",93,4,0
"183",2002,1,4,"Midwest",5,82,"Florida","Creighton",83,12,0
"184",2002,1,4,"Midwest",12,83,"Creighton","Florida",82,5,1
"185",2002,1,4,"Midwest",6,70,"Texas","Boston College",57,11,1
"186",2002,1,4,"Midwest",11,57,"Boston College","Texas",70,6,0
"187",2002,1,4,"Midwest",7,83,"Wake Forest","Pepperdine",74,10,1
"188",2002,1,4,"Midwest",10,74,"Pepperdine","Wake Forest",83,7,0
"189",2002,1,4,"Midwest",8,84,"Stanford","Western Kentucky",68,9,1
"190",2002,1,4,"Midwest",9,68,"Western Kentucky","Stanford",84,8,0
"191",2002,2,1,"South",1,84,"Duke","Notre Dame",77,8,1
"192",2002,2,1,"South",8,77,"Notre Dame","Duke",84,1,0
"193",2002,2,1,"South",2,58,"Alabama","Kent St",71,10,0
"194",2002,2,1,"South",10,71,"Kent St","Alabama",58,2,1
"195",2002,2,1,"South",3,63,"Pittsburgh","California",50,6,1
"196",2002,2,1,"South",6,50,"California","Pittsburgh",63,3,0
"197",2002,2,1,"South",13,67,"UNC Wilmington","Indiana",76,5,0
"198",2002,2,1,"South",5,76,"Indiana","UNC Wilmington",67,13,1
"199",2002,2,2,"West",1,101,"Cincinnati","UCLA",105,8,0
"200",2002,2,2,"West",8,105,"UCLA","Cincinnati",101,1,1
"201",2002,2,2,"West",2,78,"Oklahoma","Xavier",65,7,1
"202",2002,2,2,"West",7,65,"Xavier","Oklahoma",78,2,0
"203",2002,2,2,"West",3,68,"Arizona","Wyoming",60,11,1
"204",2002,2,2,"West",11,60,"Wyoming","Arizona",68,3,0
"205",2002,2,2,"West",4,67,"Ohio St","Missouri",83,12,0
"206",2002,2,2,"West",12,83,"Missouri","Ohio St",67,4,1
"207",2002,2,3,"East",1,87,"Maryland","Wisconsin",57,8,1
"208",2002,2,3,"East",8,57,"Wisconsin","Maryland",87,1,0
"209",2002,2,3,"East",2,77,"Connecticut","NC State",74,7,1
"210",2002,2,3,"East",7,74,"NC State","Connecticut",77,2,0
"211",2002,2,3,"East",3,75,"Georgia","Southern Illinois",77,11,0
"212",2002,2,3,"East",11,77,"Southern Illinois","Georgia",75,3,1
"213",2002,2,3,"East",4,87,"Kentucky","Tulsa",82,12,1
"214",2002,2,3,"East",12,82,"Tulsa","Kentucky",87,4,0
"215",2002,2,4,"Midwest",1,86,"Kansas","Stanford",63,8,1
"216",2002,2,4,"Midwest",8,63,"Stanford","Kansas",86,1,0
"217",2002,2,4,"Midwest",2,92,"Oregon","Wake Forest",87,7,1
"218",2002,2,4,"Midwest",7,87,"Wake Forest","Oregon",92,2,0
"219",2002,2,4,"Midwest",3,64,"Mississippi St","Texas",68,6,0
"220",2002,2,4,"Midwest",6,68,"Texas","Mississippi St",64,3,1
"221",2002,2,4,"Midwest",4,72,"Illinois","Creighton",60,12,1
"222",2002,2,4,"Midwest",12,60,"Creighton","Illinois",72,4,0
"223",2002,3,1,"South",1,73,"Duke","Indiana",74,5,0
"224",2002,3,1,"South",5,74,"Indiana","Duke",73,1,1
"225",2002,3,1,"South",10,78,"Kent St","Pittsburgh",73,3,1
"226",2002,3,1,"South",3,73,"Pittsburgh","Kent St",78,10,0
"227",2002,3,2,"West",8,73,"UCLA","Missouri",82,12,0
"228",2002,3,2,"West",12,82,"Missouri","UCLA",73,8,1
"229",2002,3,2,"West",2,88,"Oklahoma","Arizona",67,3,1
"230",2002,3,2,"West",3,67,"Arizona","Oklahoma",88,2,0
"231",2002,3,3,"East",1,78,"Maryland","Kentucky",68,4,1
"232",2002,3,3,"East",4,68,"Kentucky","Maryland",78,1,0
"233",2002,3,3,"East",2,71,"Connecticut","Southern Illinois",59,11,1
"234",2002,3,3,"East",11,59,"Southern Illinois","Connecticut",71,2,0
"235",2002,3,4,"Midwest",1,73,"Kansas","Illinois",69,4,1
"236",2002,3,4,"Midwest",4,69,"Illinois","Kansas",73,1,0
"237",2002,3,4,"Midwest",2,72,"Oregon","Texas",70,6,1
"238",2002,3,4,"Midwest",6,70,"Texas","Oregon",72,2,0
"239",2002,4,1,"South",5,81,"Indiana","Kent St",69,10,1
"240",2002,4,1,"South",10,69,"Kent St","Indiana",81,5,0
"241",2002,4,2,"West",12,75,"Missouri","Oklahoma",81,2,0
"242",2002,4,2,"West",2,81,"Oklahoma","Missouri",75,12,1
"243",2002,4,3,"East",1,90,"Maryland","Connecticut",82,2,1
"244",2002,4,3,"East",2,82,"Connecticut","Maryland",90,1,0
"245",2002,4,4,"Midwest",1,104,"Kansas","Oregon",86,2,1
"246",2002,4,4,"Midwest",2,86,"Oregon","Kansas",104,1,0
"247",2002,5,1,"Final Four",5,73,"Indiana","Oklahoma",64,2,1
"248",2002,5,1,"Final Four",2,64,"Oklahoma","Indiana",73,5,0
"249",2002,5,2,"Final Four",1,97,"Maryland","Kansas",88,1,1
"250",2002,5,2,"Final Four",1,88,"Kansas","Maryland",97,1,0
"251",2002,6,1,"Championship",5,52,"Indiana","Maryland",64,1,0
"252",2002,6,1,"Championship",1,64,"Maryland","Indiana",52,5,1
"253",2003,1,1,"Midwest",1,95,"Kentucky","IUPUI",64,16,1
"254",2003,1,1,"Midwest",16,64,"IUPUI","Kentucky",95,1,0
"255",2003,1,1,"Midwest",2,87,"Pittsburgh","Wagner",61,15,1
"256",2003,1,1,"Midwest",15,61,"Wagner","Pittsburgh",87,2,0
"257",2003,1,1,"Midwest",3,72,"Marquette","Holy Cross",68,14,1
"258",2003,1,1,"Midwest",14,68,"Holy Cross","Marquette",72,3,0
"259",2003,1,1,"Midwest",4,71,"Dayton","Tulsa",84,13,0
"260",2003,1,1,"Midwest",13,84,"Tulsa","Dayton",71,4,1
"261",2003,1,1,"Midwest",5,81,"Wisconsin","Weber St",74,12,1
"262",2003,1,1,"Midwest",12,74,"Weber St","Wisconsin",81,5,0
"263",2003,1,1,"Midwest",6,72,"Missouri","Southern Illinois",71,11,1
"264",2003,1,1,"Midwest",11,71,"Southern Illinois","Missouri",72,6,0
"265",2003,1,1,"Midwest",7,67,"Indiana","Alabama",62,10,1
"266",2003,1,1,"Midwest",10,62,"Alabama","Indiana",67,7,0
"267",2003,1,1,"Midwest",8,58,"Oregon","Utah",60,9,0
"268",2003,1,1,"Midwest",9,60,"Utah","Oregon",58,8,1
"269",2003,1,2,"West",1,80,"Arizona","Vermont",51,16,1
"270",2003,1,2,"West",16,51,"Vermont","Arizona",80,1,0
"271",2003,1,2,"West",2,64,"Kansas","Utah St",61,15,1
"272",2003,1,2,"West",15,61,"Utah St","Kansas",64,2,0
"273",2003,1,2,"West",3,67,"Duke","Colorado St",57,14,1
"274",2003,1,2,"West",14,57,"Colorado St","Duke",67,3,0
"275",2003,1,2,"West",4,65,"Illinois","Western Kentucky",60,13,1
"276",2003,1,2,"West",13,60,"Western Kentucky","Illinois",65,4,0
"277",2003,1,2,"West",5,70,"Notre Dame","Wisconsin Milwaukee",69,12,1
"278",2003,1,2,"West",12,69,"Wisconsin Milwaukee","Notre Dame",70,5,0
"279",2003,1,2,"West",6,73,"Creighton","Central Michigan",79,11,0
"280",2003,1,2,"West",11,79,"Central Michigan","Creighton",73,6,1
"281",2003,1,2,"West",7,71,"Memphis","Arizona St",84,10,0
"282",2003,1,2,"West",10,84,"Arizona St","Memphis",71,7,1
"283",2003,1,2,"West",8,69,"Cincinnati","Gonzaga",74,9,0
"284",2003,1,2,"West",9,74,"Gonzaga","Cincinnati",69,8,1
"285",2003,1,3,"South",1,82,"Texas","UNC Asheville",61,16,1
"286",2003,1,3,"South",16,61,"UNC Asheville","Texas",82,1,0
"287",2003,1,3,"South",2,85,"Florida","Sam Houston St",55,15,1
"288",2003,1,3,"South",15,55,"Sam Houston St","Florida",85,2,0
"289",2003,1,3,"South",3,71,"Xavier","Troy",59,14,1
"290",2003,1,3,"South",14,59,"Troy","Xavier",71,3,0
"291",2003,1,3,"South",4,77,"Stanford","San Diego",69,13,1
"292",2003,1,3,"South",13,69,"San Diego","Stanford",77,4,0
"293",2003,1,3,"South",5,58,"Connecticut","BYU",53,12,1
"294",2003,1,3,"South",12,53,"BYU","Connecticut",58,5,0
"295",2003,1,3,"South",6,75,"Maryland","UNC Wilmington",73,11,1
"296",2003,1,3,"South",11,73,"UNC Wilmington","Maryland",75,6,0
"297",2003,1,3,"South",7,79,"Michigan St","Colorado",64,10,1
"298",2003,1,3,"South",10,64,"Colorado","Michigan St",79,7,0
"299",2003,1,3,"South",8,56,"LSU","Purdue",80,9,0
"300",2003,1,3,"South",9,80,"Purdue","LSU",56,8,1
"301",2003,1,4,"East",1,71,"Oklahoma","South Carolina St",54,16,1
"302",2003,1,4,"East",16,54,"South Carolina St","Oklahoma",71,1,0
"303",2003,1,4,"East",2,76,"Wake Forest","East Tennessee St",73,15,1
"304",2003,1,4,"East",15,73,"East Tennessee St","Wake Forest",76,2,0
"305",2003,1,4,"East",3,76,"Syracuse","Manhattan",65,14,1
"306",2003,1,4,"East",14,65,"Manhattan","Syracuse",76,3,0
"307",2003,1,4,"East",4,86,"Louisville","Austin Peay",64,13,1
"308",2003,1,4,"East",13,64,"Austin Peay","Louisville",86,4,0
"309",2003,1,4,"East",5,46,"Mississippi St","Butler",47,12,0
"310",2003,1,4,"East",12,47,"Butler","Mississippi St",46,5,1
"311",2003,1,4,"East",6,77,"Oklahoma St","Pennsylvania",63,11,1
"312",2003,1,4,"East",11,63,"Pennsylvania","Oklahoma St",77,6,0
"313",2003,1,4,"East",7,63,"St Josephs","Auburn",65,10,0
"314",2003,1,4,"East",10,65,"Auburn","St Josephs",63,7,1
"315",2003,1,4,"East",8,76,"California","NC State",74,9,1
"316",2003,1,4,"East",9,74,"NC State","California",76,8,0
"317",2003,2,1,"Midwest",1,74,"Kentucky","Utah",54,9,1
"318",2003,2,1,"Midwest",9,54,"Utah","Kentucky",74,1,0
"319",2003,2,1,"Midwest",2,74,"Pittsburgh","Indiana",52,7,1
"320",2003,2,1,"Midwest",7,52,"Indiana","Pittsburgh",74,2,0
"321",2003,2,1,"Midwest",3,101,"Marquette","Missouri",92,6,1
"322",2003,2,1,"Midwest",6,92,"Missouri","Marquette",101,3,0
"323",2003,2,1,"Midwest",13,60,"Tulsa","Wisconsin",61,5,0
"324",2003,2,1,"Midwest",5,61,"Wisconsin","Tulsa",60,13,1
"325",2003,2,2,"West",1,96,"Arizona","Gonzaga",95,9,1
"326",2003,2,2,"West",9,95,"Gonzaga","Arizona",96,1,0
"327",2003,2,2,"West",2,108,"Kansas","Arizona St",76,10,1
"328",2003,2,2,"West",10,76,"Arizona St","Kansas",108,2,0
"329",2003,2,2,"West",3,86,"Duke","Central Michigan",60,11,1
"330",2003,2,2,"West",11,60,"Central Michigan","Duke",86,3,0
"331",2003,2,2,"West",4,60,"Illinois","Notre Dame",68,5,0
"332",2003,2,2,"West",5,68,"Notre Dame","Illinois",60,4,1
"333",2003,2,3,"South",1,77,"Texas","Purdue",67,9,1
"334",2003,2,3,"South",9,67,"Purdue","Texas",77,1,0
"335",2003,2,3,"South",2,46,"Florida","Michigan St",68,7,0
"336",2003,2,3,"South",7,68,"Michigan St","Florida",46,2,1
"337",2003,2,3,"South",3,64,"Xavier","Maryland",77,6,0
"338",2003,2,3,"South",6,77,"Maryland","Xavier",64,3,1
"339",2003,2,3,"South",4,74,"Stanford","Connecticut",85,5,0
"340",2003,2,3,"South",5,85,"Connecticut","Stanford",74,4,1
"341",2003,2,4,"East",1,74,"Oklahoma","California",65,8,1
"342",2003,2,4,"East",8,65,"California","Oklahoma",74,1,0
"343",2003,2,4,"East",2,62,"Wake Forest","Auburn",68,10,0
"344",2003,2,4,"East",10,68,"Auburn","Wake Forest",62,2,1
"345",2003,2,4,"East",3,68,"Syracuse","Oklahoma St",56,6,1
"346",2003,2,4,"East",6,56,"Oklahoma St","Syracuse",68,3,0
"347",2003,2,4,"East",4,71,"Louisville","Butler",79,12,0
"348",2003,2,4,"East",12,79,"Butler","Louisville",71,4,1
"349",2003,3,1,"Midwest",1,63,"Kentucky","Wisconsin",57,5,1
"350",2003,3,1,"Midwest",5,57,"Wisconsin","Kentucky",63,1,0
"351",2003,3,1,"Midwest",2,74,"Pittsburgh","Marquette",77,3,0
"352",2003,3,1,"Midwest",3,77,"Marquette","Pittsburgh",74,2,1
"353",2003,3,2,"West",1,88,"Arizona","Notre Dame",71,5,1
"354",2003,3,2,"West",5,71,"Notre Dame","Arizona",88,1,0
"355",2003,3,2,"West",2,69,"Kansas","Duke",65,3,1
"356",2003,3,2,"West",3,65,"Duke","Kansas",69,2,0
"357",2003,3,3,"South",1,82,"Texas","Connecticut",78,5,1
"358",2003,3,3,"South",5,78,"Connecticut","Texas",82,1,0
"359",2003,3,3,"South",7,60,"Michigan St","Maryland",58,6,1
"360",2003,3,3,"South",6,58,"Maryland","Michigan St",60,7,0
"361",2003,3,4,"East",1,65,"Oklahoma","Butler",54,12,1
"362",2003,3,4,"East",12,54,"Butler","Oklahoma",65,1,0
"363",2003,3,4,"East",10,78,"Auburn","Syracuse",79,3,0
"364",2003,3,4,"East",3,79,"Syracuse","Auburn",78,10,1
"365",2003,4,1,"Midwest",1,69,"Kentucky","Marquette",83,3,0
"366",2003,4,1,"Midwest",3,83,"Marquette","Kentucky",69,1,1
"367",2003,4,2,"West",1,75,"Arizona","Kansas",78,2,0
"368",2003,4,2,"West",2,78,"Kansas","Arizona",75,1,1
"369",2003,4,3,"South",1,85,"Texas","Michigan St",76,7,1
"370",2003,4,3,"South",7,76,"Michigan St","Texas",85,1,0
"371",2003,4,4,"East",1,47,"Oklahoma","Syracuse",63,3,0
"372",2003,4,4,"East",3,63,"Syracuse","Oklahoma",47,1,1
"373",2003,5,1,"Final Four",3,61,"Marquette","Kansas",94,2,0
"374",2003,5,1,"Final Four",2,94,"Kansas","Marquette",61,3,1
"375",2003,5,2,"Final Four",1,84,"Texas","Syracuse",95,3,0
"376",2003,5,2,"Final Four",3,95,"Syracuse","Texas",84,1,1
"377",2003,6,1,"Championship",2,78,"Kansas","Syracuse",81,3,0
"378",2003,6,1,"Championship",3,81,"Syracuse","Kansas",78,2,1
"379",2004,1,1,"Midwest",1,96,"Kentucky","Florida A&M",76,16,1
"380",2004,1,1,"Midwest",16,76,"Florida A&M","Kentucky",96,1,0
"381",2004,1,1,"Midwest",2,76,"Gonzaga","Valparaiso",49,15,1
"382",2004,1,1,"Midwest",15,49,"Valparaiso","Gonzaga",76,2,0
"383",2004,1,1,"Midwest",3,65,"Georgia Tech","Northern Iowa",60,14,1
"384",2004,1,1,"Midwest",14,60,"Northern Iowa","Georgia Tech",65,3,0
"385",2004,1,1,"Midwest",4,78,"Kansas","Illinois Chicago",53,13,1
"386",2004,1,1,"Midwest",13,53,"Illinois Chicago","Kansas",78,4,0
"387",2004,1,1,"Midwest",5,58,"Providence","Pacific",66,12,0
"388",2004,1,1,"Midwest",12,66,"Pacific","Providence",58,5,1
"389",2004,1,1,"Midwest",6,58,"Boston College","Utah",51,11,1
"390",2004,1,1,"Midwest",11,51,"Utah","Boston College",58,6,0
"391",2004,1,1,"Midwest",7,66,"Michigan St","Nevada",72,10,0
"392",2004,1,1,"Midwest",10,72,"Nevada","Michigan St",66,7,1
"393",2004,1,1,"Midwest",8,100,"Washington","UAB",102,9,0
"394",2004,1,1,"Midwest",9,102,"UAB","Washington",100,8,1
"395",2004,1,2,"East",1,82,"St Josephs","Liberty",63,16,1
"396",2004,1,2,"East",16,63,"Liberty","St Josephs",82,1,0
"397",2004,1,2,"East",2,75,"Oklahoma St","Eastern Washington",56,15,1
"398",2004,1,2,"East",15,56,"Eastern Washington","Oklahoma St",75,2,0
"399",2004,1,2,"East",3,53,"Pittsburgh","Central Florida",44,14,1
"400",2004,1,2,"East",14,44,"Central Florida","Pittsburgh",53,3,0
"401",2004,1,2,"East",4,79,"Wake Forest","VCU",78,13,1
"402",2004,1,2,"East",13,78,"VCU","Wake Forest",79,4,0
"403",2004,1,2,"East",5,60,"Florida","Manhattan",75,12,0
"404",2004,1,2,"East",12,75,"Manhattan","Florida",60,5,1
"405",2004,1,2,"East",6,76,"Wisconsin","Richmond",64,11,1
"406",2004,1,2,"East",11,64,"Richmond","Wisconsin",76,6,0
"407",2004,1,2,"East",7,59,"Memphis","South Carolina",43,10,1
"408",2004,1,2,"East",10,43,"South Carolina","Memphis",59,7,0
"409",2004,1,2,"East",8,76,"Texas Tech","Charlotte",73,9,1
"410",2004,1,2,"East",9,73,"Charlotte","Texas Tech",76,8,0
"411",2004,1,3,"South",1,96,"Duke","Alabama St",61,16,1
"412",2004,1,3,"South",16,61,"Alabama St","Duke",96,1,0
"413",2004,1,3,"South",2,85,"Mississippi St","Monmouth",52,15,1
"414",2004,1,3,"South",15,52,"Monmouth","Mississippi St",85,2,0
"415",2004,1,3,"South",3,66,"Texas","Princeton",49,14,1
"416",2004,1,3,"South",14,49,"Princeton","Texas",66,3,0
"417",2004,1,3,"South",4,80,"Cincinnati","East Tennessee St",77,13,1
"418",2004,1,3,"South",13,77,"East Tennessee St","Cincinnati",80,4,0
"419",2004,1,3,"South",5,72,"Illinois","Murray St",53,12,1
"420",2004,1,3,"South",12,53,"Murray St","Illinois",72,5,0
"421",2004,1,3,"South",6,63,"North Carolina","Air Force",52,11,1
"422",2004,1,3,"South",11,52,"Air Force","North Carolina",63,6,0
"423",2004,1,3,"South",7,80,"Xavier","Louisville",70,10,1
"424",2004,1,3,"South",10,70,"Louisville","Xavier",80,7,0
"425",2004,1,3,"South",8,80,"Seton Hall","Arizona",76,9,1
"426",2004,1,3,"South",9,76,"Arizona","Seton Hall",80,8,0
"427",2004,1,4,"West",1,71,"Stanford","Texas San Antonio",45,16,1
"428",2004,1,4,"West",16,45,"Texas San Antonio","Stanford",71,1,0
"429",2004,1,4,"West",2,70,"Connecticut","Vermont",53,15,1
"430",2004,1,4,"West",15,53,"Vermont","Connecticut",70,2,0
"431",2004,1,4,"West",3,61,"NC State","Louisiana Lafayette",52,14,1
"432",2004,1,4,"West",14,52,"Louisiana Lafayette","NC State",61,3,0
"433",2004,1,4,"West",4,86,"Maryland","UTEP",83,13,1
"434",2004,1,4,"West",13,83,"UTEP","Maryland",86,4,0
"435",2004,1,4,"West",5,80,"Syracuse","BYU",75,12,1
"436",2004,1,4,"West",12,75,"BYU","Syracuse",80,5,0
"437",2004,1,4,"West",6,71,"Vanderbilt","Western Michigan",58,11,1
"438",2004,1,4,"West",11,58,"Western Michigan","Vanderbilt",71,6,0
"439",2004,1,4,"West",7,76,"DePaul","Dayton",69,10,1
"440",2004,1,4,"West",10,69,"Dayton","DePaul",76,7,0
"441",2004,1,4,"West",8,65,"Alabama","Southern Illinois",64,9,1
"442",2004,1,4,"West",9,64,"Southern Illinois","Alabama",65,8,0
"443",2004,2,1,"Midwest",1,75,"Kentucky","UAB",76,9,0
"444",2004,2,1,"Midwest",9,76,"UAB","Kentucky",75,1,1
"445",2004,2,1,"Midwest",2,72,"Gonzaga","Nevada",91,10,0
"446",2004,2,1,"Midwest",10,91,"Nevada","Gonzaga",72,2,1
"447",2004,2,1,"Midwest",3,57,"Georgia Tech","Boston College",54,6,1
"448",2004,2,1,"Midwest",6,54,"Boston College","Georgia Tech",57,3,0
"449",2004,2,1,"Midwest",4,78,"Kansas","Pacific",63,12,1
"450",2004,2,1,"Midwest",12,63,"Pacific","Kansas",78,4,0
"451",2004,2,2,"East",1,70,"St Josephs","Texas Tech",65,8,1
"452",2004,2,2,"East",8,65,"Texas Tech","St Josephs",70,1,0
"453",2004,2,2,"East",2,70,"Oklahoma St","Memphis",53,7,1
"454",2004,2,2,"East",7,53,"Memphis","Oklahoma St",70,2,0
"455",2004,2,2,"East",3,59,"Pittsburgh","Wisconsin",55,6,1
"456",2004,2,2,"East",6,55,"Wisconsin","Pittsburgh",59,3,0
"457",2004,2,2,"East",4,84,"Wake Forest","Manhattan",80,12,1
"458",2004,2,2,"East",12,80,"Manhattan","Wake Forest",84,4,0
"459",2004,2,3,"South",1,90,"Duke","Seton Hall",62,8,1
"460",2004,2,3,"South",8,62,"Seton Hall","Duke",90,1,0
"461",2004,2,3,"South",2,74,"Mississippi St","Xavier",89,7,0
"462",2004,2,3,"South",7,89,"Xavier","Mississippi St",74,2,1
"463",2004,2,3,"South",3,78,"Texas","North Carolina",75,6,1
"464",2004,2,3,"South",6,75,"North Carolina","Texas",78,3,0
"465",2004,2,3,"South",4,68,"Cincinnati","Illinois",92,5,0
"466",2004,2,3,"South",5,92,"Illinois","Cincinnati",68,4,1
"467",2004,2,4,"West",1,67,"Stanford","Alabama",70,8,0
"468",2004,2,4,"West",8,70,"Alabama","Stanford",67,1,1
"469",2004,2,4,"West",2,72,"Connecticut","DePaul",55,7,1
"470",2004,2,4,"West",7,55,"DePaul","Connecticut",72,2,0
"471",2004,2,4,"West",3,73,"NC State","Vanderbilt",75,6,0
"472",2004,2,4,"West",6,75,"Vanderbilt","NC State",73,3,1
"473",2004,2,4,"West",4,70,"Maryland","Syracuse",72,5,0
"474",2004,2,4,"West",5,72,"Syracuse","Maryland",70,4,1
"475",2004,3,1,"Midwest",9,74,"UAB","Kansas",100,4,0
"476",2004,3,1,"Midwest",4,100,"Kansas","UAB",74,9,1
"477",2004,3,1,"Midwest",10,67,"Nevada","Georgia Tech",72,3,0
"478",2004,3,1,"Midwest",3,72,"Georgia Tech","Nevada",67,10,1
"479",2004,3,2,"East",1,84,"St Josephs","Wake Forest",80,4,1
