"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1533",2013,1,2,"West",3,62,"New Mexico","Harvard",68,14,0
"1534",2013,1,2,"West",14,68,"Harvard","New Mexico",62,3,1
"1535",2013,1,2,"West",4,61,"Kansas St","La Salle",63,13,0
"1536",2013,1,2,"West",13,63,"La Salle","Kansas St",61,4,1
"1537",2013,1,2,"West",5,46,"Wisconsin","Ole Miss",57,12,0
"1538",2013,1,2,"West",12,57,"Ole Miss","Wisconsin",46,5,1
"1539",2013,1,2,"West",6,81,"Arizona","Belmont",64,11,1
"1540",2013,1,2,"West",11,64,"Belmont","Arizona",81,6,0
"1541",2013,1,2,"West",7,58,"Notre Dame","Iowa St",76,10,0
"1542",2013,1,2,"West",10,76,"Iowa St","Notre Dame",58,7,1
"1543",2013,1,2,"West",8,55,"Pittsburgh","Wichita St",73,9,0
"1544",2013,1,2,"West",9,73,"Wichita St","Pittsburgh",55,8,1
"1545",2013,1,3,"South",1,64,"Kansas","Western Kentucky",57,16,1
"1546",2013,1,3,"South",16,57,"Western Kentucky","Kansas",64,1,0
"1547",2013,1,3,"South",2,68,"Georgetown","Florida Gulf Coast",78,15,0
"1548",2013,1,3,"South",15,78,"Florida Gulf Coast","Georgetown",68,2,1
"1549",2013,1,3,"South",3,79,"Florida","Northwestern St",47,14,1
"1550",2013,1,3,"South",14,47,"Northwestern St","Florida",79,3,0
"1551",2013,1,3,"South",4,71,"Michigan","South Dakota St",56,13,1
"1552",2013,1,3,"South",13,56,"South Dakota St","Michigan",71,4,0
"1553",2013,1,3,"South",5,88,"VCU","Akron",42,12,1
"1554",2013,1,3,"South",12,42,"Akron","VCU",88,5,0
"1555",2013,1,3,"South",6,63,"UCLA","Minnesota",83,11,0
"1556",2013,1,3,"South",11,83,"Minnesota","UCLA",63,6,1
"1557",2013,1,3,"South",7,70,"San Diego St","Oklahoma",55,10,1
"1558",2013,1,3,"South",10,55,"Oklahoma","San Diego St",70,7,0
"1559",2013,1,3,"South",8,78,"North Carolina","Villanova",71,9,1
