School,G,W_overall,L_overall,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
Providence,33,20,13,.606,11.24,7.84,2319,2207,1325,804,1795,.448,239,645,.371,472,683,.691,294,1101,471,218,98,412,569,2017
Purdue,35,27,8,.771,20.13,8.79,2790,2393,1415,980,2044,.479,315,782,.403,515,680,.757,344,1322,640,181,87,455,552,2017
Rhode Island,35,25,10,.714,12.88,4.62,2577,2288,1405,916,2019,.454,217,653,.332,528,791,.668,409,1301,467,227,206,389,725,2017
Saint Mary's (CA),34,29,5,.853,16.75,2.19,2449,1954,1360,892,1797,.496,293,744,.394,372,499,.745,324,1205,563,143,110,365,512,2017
Seton Hall,33,21,12,.636,12.10,9.25,2417,2323,1335,872,1949,.447,202,598,.338,471,733,.643,439,1311,405,228,82,449,613,2017
South Carolina,37,26,11,.703,17.52,10.16,2707,2414,1505,924,2197,.421,248,733,.338,611,874,.699,464,1346,468,288,142,480,751,2017
South Dakota State,35,18,17,.514,-2.30,-0.66,2683,2697,1415,881,1938,.455,318,883,.360,603,782,.771,316,1229,459,180,83,453,584,2017
Southern California,36,26,10,.722,11.48,6.40,2816,2633,1445,975,2139,.456,283,782,.362,583,787,.741,387,1286,550,252,190,398,571,2017
Southern Methodist,35,30,5,.857,18.71,4.45,2599,2100,1400,914,1934,.473,286,705,.406,485,696,.697,416,1335,566,200,117,377,506,2017
Texas Southern,35,23,12,.657,-6.41,-7.81,2593,2544,1410,866,2017,.429,205,695,.295,656,892,.735,401,1228,411,251,110,407,607,2017
Troy,37,22,15,.595,-0.47,-3.36,2889,2667,1485,982,2153,.456,311,867,.359,614,847,.725,409,1362,484,221,129,462,654,2017
UCLA,36,31,5,.861,20.67,6.39,3233,2719,1440,1210,2320,.522,354,872,.406,459,622,.738,343,1386,771,212,191,404,583,2017
Vanderbilt,35,19,16,.543,13.69,10.72,2489,2385,1405,815,1896,.430,346,921,.376,513,660,.777,286,1208,450,147,133,430,581,2017
Vermont,35,29,6,.829,6.67,-3.27,2571,2174,1400,943,1909,.494,229,621,.369,456,651,.700,326,1192,476,199,151,392,555,2017
Villanova,36,32,4,.889,23.80,9.28,2779,2256,1440,965,1948,.495,311,843,.369,538,681,.790,316,1208,505,259,109,402,515,2017
Virginia Commonwealth,35,26,9,.743,11.57,3.77,2616,2343,1420,945,2050,.461,199,602,.331,527,747,.705,386,1275,525,263,138,435,728,2017
Virginia Tech,33,22,11,.667,12.77,8.38,2610,2465,1330,887,1813,.489,290,720,.403,546,741,.737,240,1068,497,131,91,398,543,2017
Virginia,34,23,11,.676,20.63,10.93,2246,1916,1380,839,1823,.460,232,602,.385,336,474,.709,297,1119,473,190,138,324,556,2017
Wake Forest,33,19,14,.576,14.19,9.80,2733,2588,1320,923,1955,.472,268,697,.385,619,795,.779,349,1199,512,183,121,389,668,2017
West Virginia,37,28,9,.757,24.45,9.67,3014,2467,1505,1059,2333,.454,275,759,.362,621,907,.685,534,1387,607,371,176,455,756,2017
Wichita State,36,31,5,.861,21.24,2.96,2916,2246,1440,992,2114,.469,310,769,.403,622,848,.733,434,1472,586,235,140,406,676,2017
Winthrop,33,26,7,.788,1.34,-6.12,2615,2322,1350,891,1957,.455,313,839,.373,520,725,.717,316,1224,423,216,169,430,605,2017
Wisconsin,37,27,10,.730,19.40,9.40,2678,2308,1500,971,2135,.455,283,788,.359,453,703,.644,460,1377,504,250,130,411,602,2017
Xavier,38,24,14,.632,14.80,11.51,2836,2711,1525,981,2148,.457,267,775,.345,607,882,.688,451,1416,560,228,100,478,711,2017
Alabama,36,20,16,.556,12.34,10.64,2604,2543,1440,910,1975,.461,229,702,.326,555,828,.670,360,1290,458,228,192,513,676,2018
Arizona State,32,20,12,.625,14.37,6.56,2645,2395,1290,888,1920,.463,288,793,.363,581,793,.733,315,1126,458,209,114,343,604,2018
Arizona,35,27,8,.771,15.67,6.84,2818,2509,1420,1009,2003,.504,237,642,.369,563,741,.760,353,1277,531,173,158,426,603,2018
Arkansas,35,23,12,.657,14.76,9.85,2819,2647,1415,1005,2119,.474,269,681,.395,540,793,.681,351,1208,501,218,163,381,700,2018
Auburn,34,26,8,.765,15.97,7.29,2783,2488,1360,906,2102,.431,324,908,.357,647,836,.774,407,1290,481,252,180,411,672,2018
Bucknell,35,25,10,.714,4.48,-3.46,2837,2559,1420,965,2050,.471,280,804,.348,627,872,.719,325,1281,505,194,152,437,655,2018
Buffalo,36,27,9,.750,7.99,0.25,3047,2742,1455,1105,2334,.473,351,948,.370,486,695,.699,430,1388,597,225,146,446,755,2018
Butler,35,21,14,.600,16.92,10.55,2763,2540,1430,1020,2155,.473,287,805,.357,436,562,.776,324,1198,489,232,100,391,642,2018
Cal State Fullerton,32,20,12,.625,-0.92,-1.02,2318,2245,1290,804,1721,.467,167,500,.334,543,745,.729,280,1123,403,201,106,455,578,2018
Cincinnati,36,31,5,.861,20.25,3.53,2673,2071,1440,944,2100,.450,262,742,.353,523,756,.692,479,1413,570,256,194,404,561,2018
Clemson,35,25,10,.714,17.17,9.25,2584,2307,1410,899,1971,.456,288,786,.366,498,660,.755,313,1256,463,198,169,414,564,2018
College of Charleston,34,26,8,.765,1.83,-3.29,2536,2331,1385,875,1905,.459,259,720,.360,527,699,.754,286,1129,387,177,119,339,563,2018
Creighton,33,21,12,.636,16.35,8.10,2756,2444,1330,1008,2050,.492,343,923,.372,397,531,.748,249,1206,588,187,88,371,501,2018
Davidson,33,21,12,.636,11.02,2.57,2519,2240,1335,899,1874,.480,353,907,.389,368,461,.798,229,1078,551,155,65,315,503,2018
Duke,37,29,8,.784,24.44,9.71,3121,2576,1490,1125,2288,.492,309,831,.372,562,791,.710,496,1519,648,275,185,460,574,2018
Florida State,35,23,12,.657,15.79,8.50,2806,2551,1420,994,2125,.468,273,781,.350,543,786,.691,398,1322,523,241,186,456,652,2018
Florida,34,21,13,.618,16.67,10.08,2577,2353,1375,893,2065,.432,308,832,.370,483,673,.718,367,1198,445,237,164,335,591,2018
Georgia State,35,24,11,.686,3.23,-2.78,2614,2356,1415,937,2033,.461,323,839,.385,417,615,.678,309,1182,455,256,160,395,639,2018
Gonzaga,37,32,5,.865,18.43,2.59,3091,2505,1500,1125,2261,.498,328,891,.368,513,725,.708,413,1477,564,234,134,420,631,2018
Houston,35,27,8,.771,15.99,4.16,2685,2271,1400,952,2066,.461,297,768,.387,484,674,.718,408,1352,505,218,106,418,737,2018
Iona,34,20,14,.588,0.76,-2.19,2702,2602,1385,957,2076,.461,324,846,.383,462,626,.738,291,1146,542,229,103,395,587,2018
Kansas State,37,25,12,.676,12.84,8.74,2630,2478,1485,937,2025,.463,254,745,.341,502,684,.734,304,1136,510,294,110,423,684,2018
Kansas,39,31,8,.795,21.39,11.87,3174,2803,1565,1165,2366,.492,391,974,.401,453,640,.708,381,1388,649,254,160,456,597,2018
Kentucky,37,26,11,.703,17.24,10.73,2840,2599,1485,998,2115,.472,195,546,.357,649,930,.698,441,1431,489,208,176,480,702,2018
Lipscomb,33,23,10,.697,-2.10,-3.80,2708,2564,1340,924,2040,.453,267,813,.328,593,826,.718,346,1276,517,216,102,493,656,2018
Long Island University,35,18,17,.514,-8.61,-8.19,2696,2674,1405,935,2055,.455,279,815,.342,547,786,.696,370,1327,442,194,111,496,687,2018
Loyola (IL),38,32,6,.842,10.38,1.81,2721,2377,1520,995,1963,.507,277,700,.396,454,626,.725,238,1222,594,241,90,472,528,2018
Marshall,36,25,11,.694,4.21,0.44,3017,2849,1455,1042,2232,.467,362,1012,.358,571,747,.764,293,1287,615,252,209,476,617,2018
Maryland-Baltimore County,36,25,11,.694,-2.02,-3.84,2630,2466,1440,926,2088,.443,364,940,.387,414,641,.646,348,1245,547,269,87,440,592,2018
Miami (FL),32,22,10,.688,12.83,6.96,2361,2173,1290,875,1881,.465,247,678,.364,362,547,.662,318,1113,424,210,130,367,518,2018
Michigan State,35,30,5,.857,22.41,7.10,2807,2271,1405,991,1996,.496,290,725,.400,535,716,.747,405,1439,670,143,251,459,640,2018
Michigan,41,33,8,.805,19.03,9.41,3019,2596,1655,1092,2335,.468,361,1011,.357,474,717,.661,345,1367,585,261,126,379,643,2018
Missouri,33,20,13,.606,13.81,9.19,2399,2246,1330,794,1765,.450,306,799,.383,505,688,.734,333,1225,443,170,140,469,594,2018
Montana,34,26,8,.765,6.28,-2.25,2625,2329,1380,944,2021,.467,186,549,.339,551,780,.706,402,1258,428,264,114,422,716,2018
Murray State,32,26,6,.813,6.87,-3.53,2515,2117,1280,870,1803,.483,271,719,.377,504,687,.734,341,1186,471,216,104,384,559,2018
Nevada,37,29,8,.784,14.44,4.93,3055,2703,1500,1049,2238,.469,354,904,.392,603,812,.743,342,1316,598,230,150,357,630,2018
New Mexico State,34,28,6,.824,9.06,-1.10,2572,2183,1365,963,2104,.458,258,773,.334,388,603,.643,427,1402,481,189,103,429,604,2018
North Carolina Central,35,19,16,.543,-13.19,-12.31,2520,2425,1405,949,2060,.461,212,640,.331,410,597,.687,415,1336,545,179,117,495,650,2018
North Carolina-Greensboro,35,27,8,.771,4.54,-3.87,2562,2189,1430,924,2075,.445,331,938,.353,383,549,.698,418,1307,487,267,132,481,650,2018
North Carolina State,33,21,12,.636,12.91,6.70,2682,2477,1325,965,2054,.470,263,707,.372,489,703,.696,401,1176,531,244,122,400,609,2018
North Carolina,37,26,11,.703,20.08,11.78,3018,2711,1485,1105,2417,.457,305,849,.359,503,677,.743,511,1570,674,213,151,445,587,2018
Ohio State,34,25,9,.735,17.67,9.03,2591,2297,1375,951,1980,.480,239,678,.353,450,616,.731,334,1245,499,209,132,399,595,2018
Oklahoma,32,18,14,.563,13.81,10.56,2718,2614,1295,954,2063,.462,300,836,.359,510,684,.746,339,1229,479,208,151,428,551,2018
Pennsylvania,33,24,9,.727,2.24,-3.17,2506,2274,1355,893,1948,.458,291,831,.350,429,651,.659,283,1239,508,194,92,391,566,2018
Providence,35,21,14,.600,11.12,10.23,2575,2544,1425,899,2037,.441,223,671,.332,554,787,.704,369,1247,485,238,128,430,624,2018
Purdue,37,30,7,.811,23.41,8.74,2974,2431,1485,1033,2097,.493,353,840,.420,555,747,.743,319,1295,598,211,180,399,580,2018
Radford,36,23,13,.639,-2.61,-4.08,2422,2336,1465,850,2000,.425,277,793,.349,445,614,.725,415,1244,442,226,105,441,596,2018
Rhode Island,34,26,8,.765,11.81,4.61,2583,2338,1370,954,2096,.455,236,670,.352,439,630,.697,389,1170,520,249,118,362,645,2018
San Diego State,33,22,11,.667,12.23,3.91,2545,2240,1320,902,1967,.459,239,709,.337,502,702,.715,366,1250,488,206,107,394,564,2018
Seton Hall,34,22,12,.647,15.67,10.11,2701,2512,1370,971,2073,.468,250,685,.365,509,729,.698,416,1302,527,210,117,432,614,2018
South Dakota State,35,28,7,.800,6.84,-0.38,2958,2599,1415,1003,2147,.467,374,927,.403,578,759,.762,310,1360,467,172,80,353,562,2018
St. Bonaventure,34,26,8,.765,8.87,2.61,2620,2407,1380,884,1959,.451,255,661,.386,597,794,.752,344,1208,472,239,118,391,674,2018
Stephen F. Austin,35,28,7,.800,2.67,-6.46,2819,2386,1400,1000,2059,.486,242,651,.372,577,819,.705,402,1248,498,361,107,540,765,2018
Syracuse,37,23,14,.622,12.89,10.02,2466,2360,1500,832,1995,.417,208,655,.318,594,807,.736,442,1375,395,258,198,460,611,2018
Tennessee,35,26,9,.743,18.20,10.12,2584,2301,1410,885,2012,.440,273,718,.380,541,715,.757,404,1262,550,222,156,422,680,2018
Texas A&M,35,22,13,.629,15.30,10.62,2631,2467,1400,976,2121,.460,230,700,.329,449,679,.661,432,1450,538,190,209,476,574,2018
Texas Christian,33,21,12,.636,16.38,9.68,2708,2487,1345,979,1973,.496,274,694,.395,476,674,.706,368,1201,615,214,119,419,553,2018
Texas Southern,36,16,20,.444,-7.53,-5.53,2787,2859,1450,925,2111,.438,280,781,.359,657,906,.725,372,1301,438,207,145,453,631,2018
Texas Tech,37,27,10,.730,19.38,9.60,2759,2397,1490,964,2096,.460,252,702,.359,579,823,.704,407,1332,529,262,158,454,669,2018
Texas,34,19,15,.559,13.96,10.67,2450,2338,1410,882,2010,.439,245,766,.320,441,663,.665,361,1217,394,209,168,399,547,2018
UCLA,33,21,12,.636,12.07,6.86,2679,2507,1350,927,2014,.460,310,813,.381,515,715,.720,337,1283,495,184,131,399,592,2018
Villanova,40,36,4,.900,26.64,10.24,3463,2807,1615,1220,2440,.500,464,1158,.401,559,718,.779,385,1436,655,259,162,426,645,2018
Virginia Tech,33,21,12,.636,14.35,6.72,2634,2382,1335,931,1865,.499,289,745,.388,483,681,.709,246,1078,542,191,74,395,523,2018
Virginia,34,31,3,.912,22.21,9.07,2283,1836,1365,848,1844,.460,247,645,.383,340,451,.754,282,1099,458,232,124,290,480,2018
West Virginia,37,26,11,.703,19.88,9.36,2964,2575,1485,1036,2374,.436,322,911,.353,570,744,.766,521,1401,561,301,192,420,798,2018
Wichita State,33,25,8,.758,16.58,5.46,2731,2364,1330,957,2009,.476,300,787,.381,517,700,.739,405,1336,610,154,127,385,580,2018
Wright State,35,25,10,.714,0.58,-3.64,2500,2307,1410,873,2019,.432,237,703,.337,517,723,.715,356,1266,460,231,77,459,558,2018
Xavier,35,29,6,.829,19.08,9.45,2953,2616,1415,1011,2055,.492,274,736,.372,657,843,.779,345,1342,579,205,109,441,602,2018
Abilene Christian,34,27,7,.794,-1.91,-7.34,2502,2161,1370,897,1911,.469,251,660,.380,457,642,.712,325,1110,525,297,93,407,635,2019
Arizona State,34,23,11,.676,10.28,6.04,2638,2494,1380,899,2012,.447,240,714,.336,600,882,.680,399,1351,459,213,109,466,675,2019
Auburn,40,30,10,.750,20.84,10.92,3188,2750,1615,1097,2439,.450,454,1204,.377,540,760,.711,457,1369,572,369,190,466,731,2019
Baylor,34,20,14,.588,13.38,9.26,2442,2302,1365,869,1966,.442,274,803,.341,430,635,.677,450,1281,473,209,159,446,636,2019
Belmont,33,27,6,.818,9.12,-2.60,2868,2439,1330,1042,2094,.498,343,922,.372,441,598,.737,286,1275,645,220,125,376,509,2019
Bradley,35,20,15,.571,-0.08,-0.90,2329,2285,1405,812,1874,.433,240,653,.368,465,672,.692,313,1195,423,186,132,440,617,2019
Buffalo,36,32,4,.889,15.56,2.62,3037,2550,1445,1083,2344,.462,344,1022,.337,527,767,.687,452,1470,599,263,140,433,659,2019
UC-Irvine,37,31,6,.838,5.70,-2.30,2675,2353,1500,987,2159,.457,252,701,.359,449,640,.702,429,1471,479,210,153,441,673,2019
Central Florida,33,24,9,.727,13.37,5.58,2385,2128,1325,819,1763,.465,229,628,.365,518,798,.649,315,1215,439,189,150,393,554,2019
Cincinnati,35,28,7,.800,14.53,5.50,2510,2194,1410,872,2018,.432,232,673,.345,534,758,.704,442,1264,466,214,155,365,563,2019
Colgate,35,24,11,.686,1.23,-3.83,2648,2458,1415,955,1995,.479,320,815,.393,418,563,.742,322,1240,541,213,121,456,547,2019
Duke,38,32,6,.842,26.90,11.98,3143,2576,1525,1157,2418,.478,278,903,.308,551,803,.686,495,1567,606,346,257,488,595,2019
Fairleigh Dickinson,35,21,14,.600,-6.09,-7.24,2620,2515,1420,921,1939,.475,269,672,.400,509,702,.725,323,1155,486,261,132,477,578,2019
Florida State,37,29,8,.784,17.99,10.26,2771,2485,1500,960,2171,.442,272,819,.332,579,778,.744,418,1391,475,266,161,492,705,2019
Florida,36,20,16,.556,15.42,11.22,2440,2289,1455,857,2015,.425,291,872,.334,435,603,.721,375,1201,437,257,131,420,614,2019
Gardner-Webb,35,23,12,.657,-2.61,-4.43,2718,2468,1430,955,1962,.487,281,719,.391,527,741,.711,271,1190,502,238,101,407,561,2019
Georgia State,34,24,10,.706,2.44,0.65,2598,2491,1360,903,1968,.459,330,859,.384,462,694,.666,273,1110,415,269,158,391,583,2019
Gonzaga,37,33,4,.892,27.79,5.01,3243,2400,1480,1177,2239,.526,287,790,.363,602,791,.761,354,1443,668,278,204,394,603,2019
Houston,37,33,4,.892,18.91,4.61,2787,2258,1480,982,2203,.446,333,939,.355,490,697,.703,448,1502,548,240,161,410,705,2019
Iona,33,17,16,.515,-4.78,-5.50,2532,2508,1320,857,1897,.452,297,845,.351,521,699,.745,283,1152,432,223,90,406,564,2019
Iowa State,35,23,12,.657,18.07,9.30,2692,2385,1400,974,2047,.476,294,811,.363,450,615,.732,327,1230,527,247,160,379,517,2019
Iowa,35,23,12,.657,14.27,9.84,2740,2585,1415,914,2006,.456,285,782,.364,627,849,.739,357,1246,542,211,112,427,565,2019
Kansas State,34,25,9,.735,15.39,9.18,2236,2025,1360,806,1878,.429,241,721,.334,383,574,.667,325,1137,464,256,76,385,550,2019
Kansas,36,26,10,.722,18.35,12.79,2725,2525,1455,989,2128,.465,260,743,.350,487,691,.705,374,1376,478,243,139,472,610,2019
Kentucky,37,30,7,.811,21.43,10.29,2806,2394,1490,978,2050,.477,215,607,.354,635,859,.739,427,1428,501,220,176,466,600,2019
Liberty,36,29,7,.806,5.27,-3.88,2654,2209,1440,963,1977,.487,322,873,.369,406,524,.775,270,1174,532,223,96,395,543,2019
Louisiana State,35,28,7,.800,16.50,9.16,2815,2558,1435,988,2162,.457,236,740,.319,603,802,.752,460,1355,452,308,148,452,634,2019
Louisville,34,20,14,.588,17.28,11.04,2536,2324,1380,854,1967,.434,294,860,.342,534,687,.777,345,1297,458,149,99,412,591,2019
Marquette,34,24,10,.706,14.78,6.96,2629,2363,1375,893,1969,.454,319,822,.388,524,692,.757,331,1292,456,168,145,467,635,2019
Maryland,34,23,11,.676,16.01,10.09,2429,2228,1360,858,1909,.449,247,707,.349,466,627,.743,378,1336,447,148,163,437,526,2019
Michigan State,39,32,7,.821,24.93,12.34,3025,2534,1570,1071,2230,.480,319,844,.378,564,749,.753,414,1579,715,201,205,493,647,2019
Michigan,37,30,7,.811,21.82,10.55,2575,2158,1480,941,2102,.448,287,839,.342,406,579,.701,299,1307,512,225,149,334,514,2019
Minnesota,36,22,14,.611,12.52,11.27,2543,2498,1445,887,2039,.435,191,603,.317,578,848,.682,402,1314,523,175,140,418,578,2019
Mississippi State,34,23,11,.676,15.96,9.07,2628,2394,1370,936,1982,.472,292,774,.377,464,647,.717,393,1215,481,274,172,451,586,2019
Mississippi,33,20,13,.606,12.32,8.13,2485,2347,1325,876,1906,.460,272,760,.358,461,589,.783,322,1128,475,235,118,416,603,2019
Montana,35,26,9,.743,1.50,-5.05,2665,2397,1405,975,1983,.492,287,763,.376,428,621,.689,293,1176,510,229,106,416,655,2019
Murray State,33,28,5,.848,8.96,-3.11,2727,2255,1320,988,2007,.492,258,731,.353,493,673,.733,351,1247,591,249,149,401,527,2019
Nevada,34,29,5,.853,16.00,2.68,2723,2270,1360,924,1999,.462,297,855,.347,578,816,.708,325,1274,498,211,134,352,584,2019
New Mexico State,35,30,5,.857,10.05,-2.38,2734,2259,1405,962,2092,.460,326,977,.334,484,714,.678,445,1343,514,197,91,419,632,2019
North Carolina Central,34,18,16,.529,-11.53,-11.24,2429,2266,1365,874,1922,.455,221,693,.319,460,641,.718,399,1265,526,207,93,515,610,2019
North Carolina,36,29,7,.806,23.94,11.35,3089,2636,1445,1118,2410,.464,312,862,.362,541,728,.743,477,1589,678,252,120,473,611,2019
North Dakota State,35,19,16,.543,-4.01,-2.07,2556,2541,1410,874,1926,.454,332,910,.365,476,613,.777,229,1105,402,160,87,368,523,2019
Northeastern,34,23,11,.676,3.95,-0.70,2564,2406,1385,880,1848,.476,328,858,.382,476,634,.751,237,1075,480,211,74,381,539,2019
Northern Kentucky,35,26,9,.743,4.67,-2.39,2747,2410,1410,979,2047,.478,306,844,.363,483,725,.666,364,1298,592,218,139,441,664,2019
Ohio State,35,20,15,.571,13.89,11.00,2419,2318,1405,839,1931,.434,264,774,.341,477,650,.734,328,1215,494,206,85,438,623,2019
Oklahoma,34,20,14,.588,15.30,12.21,2423,2318,1365,883,1975,.447,226,654,.346,431,618,.697,305,1263,430,203,102,401,527,2019
Old Dominion,35,26,9,.743,3.74,-1.18,2300,2128,1400,823,2026,.406,264,756,.349,388,585,.663,418,1365,439,197,160,408,580,2019
Oregon,38,25,13,.658,13.95,6.13,2661,2364,1530,958,2126,.451,295,840,.351,450,624,.721,361,1307,501,290,162,442,665,2019
Prairie View,35,22,13,.629,-7.29,-9.17,2627,2547,1400,903,2061,.438,225,703,.320,596,875,.681,392,1151,445,309,55,445,758,2019
Purdue,36,26,10,.722,21.40,11.99,2760,2421,1460,967,2145,.451,365,977,.374,461,641,.719,421,1341,518,220,143,381,625,2019
Saint Louis,36,23,13,.639,5.06,2.23,2399,2297,1440,855,2052,.417,205,675,.304,484,809,.598,492,1428,460,254,145,464,634,2019
Saint Mary's (CA),34,22,12,.647,12.58,4.40,2463,2185,1365,899,1905,.472,253,670,.378,412,555,.742,329,1180,341,201,87,355,572,2019
Seton Hall,34,20,14,.588,10.25,8.34,2508,2443,1375,888,2021,.439,240,741,.324,492,697,.706,361,1213,459,235,132,423,638,2019
St. John's (NY),34,21,13,.618,7.88,5.50,2623,2542,1375,944,2100,.450,289,809,.357,446,620,.719,264,1120,472,302,111,357,650,2019
Syracuse,34,20,14,.588,13.73,10.09,2370,2246,1365,808,1907,.424,274,824,.333,480,701,.685,363,1174,408,278,162,423,588,2019
Temple,33,23,10,.697,8.17,4.93,2465,2358,1340,873,1998,.437,247,748,.330,472,649,.727,316,1136,476,284,73,368,581,2019
Tennessee,37,31,6,.838,21.55,10.16,3035,2580,1505,1106,2231,.496,262,714,.367,561,744,.754,379,1391,660,221,199,412,654,2019
Texas Tech,38,31,7,.816,22.79,9.53,2765,2261,1530,990,2110,.469,277,759,.365,508,694,.732,315,1297,518,278,186,457,663,2019
Utah State,35,28,7,.800,11.98,0.89,2753,2349,1410,959,2038,.471,274,772,.355,559,747,.748,377,1405,598,215,147,449,649,2019
Vermont,34,27,7,.794,4.88,-4.18,2508,2143,1370,864,1887,.458,273,761,.359,507,678,.748,304,1194,399,188,136,377,568,2019
Villanova,36,26,10,.722,14.33,7.97,2654,2425,1455,884,2019,.438,380,1081,.352,506,695,.728,368,1253,503,194,106,388,580,2019
Virginia Commonwealth,33,25,8,.758,11.96,2.87,2344,2044,1330,820,1872,.438,235,771,.305,469,669,.701,358,1208,450,263,148,458,650,2019
Virginia Tech,35,26,9,.743,19.28,7.79,2574,2172,1410,893,1900,.470,327,831,.394,461,606,.761,310,1142,531,236,78,392,532,2019
Virginia,38,35,3,.921,25.46,10.15,2714,2132,1535,974,2056,.474,321,813,.395,445,598,.744,342,1326,544,211,149,342,542,2019
Washington,36,27,9,.750,12.01,7.01,2511,2331,1445,883,1956,.451,273,780,.350,472,679,.695,334,1129,419,323,206,479,653,2019
Wisconsin,34,23,11,.676,17.90,11.01,2333,2099,1385,874,1945,.449,241,672,.359,344,531,.648,283,1197,430,177,140,327,511,2019
Wofford,35,30,5,.857,13.92,0.80,2879,2295,1410,1044,2132,.490,385,929,.414,406,577,.704,365,1232,528,233,105,377,589,2019
Yale,30,22,8,.733,5.52,-1.24,2427,2202,1215,893,1812,.493,230,634,.363,411,557,.738,259,1157,503,177,131,392,510,2019
