School,G,W_overall,L_overall,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
Missouri,34,23,11,.676,15.41,6.00,2588,2268,1370,924,2015,.459,215,635,.339,525,706,.744,454,1266,472,229,119,442,567,2013
Montana,32,25,7,.781,-1.11,-4.21,2238,2096,1305,760,1635,.465,219,589,.372,499,651,.767,248,905,405,187,100,391,543,2013
Nevada-Las Vegas,35,25,10,.714,12.92,5.71,2498,2206,1405,872,2002,.436,227,689,.329,525,747,.703,418,1281,562,253,203,487,593,2013
New Mexico State,35,24,11,.686,5.11,0.70,2355,2175,1410,832,1828,.455,137,438,.313,554,845,.656,429,1235,401,198,193,506,525,2013
New Mexico,35,29,6,.829,13.28,6.63,2355,2122,1410,768,1815,.423,221,629,.351,598,829,.721,335,1123,505,220,134,402,542,2013
North Carolina A&T,37,20,17,.541,-6.94,-6.30,2299,2291,1485,776,1927,.403,215,707,.304,532,809,.658,387,1166,405,261,165,564,716,2013
North Carolina State,35,24,11,.686,14.32,7.17,2708,2458,1405,985,1987,.496,184,471,.391,554,813,.681,396,1186,511,227,147,433,544,2013
North Carolina,36,25,11,.694,14.52,8.01,2762,2492,1445,1023,2321,.441,272,723,.376,442,655,.675,478,1254,616,303,117,433,539,2013
Northwestern State,32,23,9,.719,0.41,-3.77,2559,2285,1280,919,2007,.458,189,603,.313,532,775,.686,435,1133,489,307,151,448,619,2013
Notre Dame,35,25,10,.714,13.74,7.22,2450,2222,1440,892,1929,.462,228,617,.370,438,618,.709,387,1146,587,175,132,393,495,2013
Ohio State,37,29,8,.784,20.19,9.32,2599,2197,1485,928,2057,.451,227,638,.356,516,729,.708,378,1219,493,248,162,377,590,2013
Oklahoma State,33,24,9,.727,15.57,6.73,2371,2079,1345,814,1854,.439,183,580,.316,560,751,.746,354,1110,398,248,155,411,598,2013
Oklahoma,32,20,12,.625,11.40,7.09,2260,2122,1290,803,1847,.435,159,493,.323,495,654,.757,377,1066,394,206,89,376,557,2013
Oregon,37,28,9,.757,13.82,5.77,2650,2352,1505,944,2110,.447,192,577,.333,570,809,.705,451,1285,484,314,146,555,651,2013
Pacific,35,22,13,.629,1.96,1.05,2344,2238,1405,824,1839,.448,225,590,.381,471,684,.689,333,1037,510,194,46,390,621,2013
Pittsburgh,33,24,9,.727,18.82,5.63,2282,1847,1335,837,1775,.472,163,467,.349,445,666,.668,425,1067,537,218,131,364,575,2013
Saint Louis,35,28,7,.800,14.33,4.28,2388,2036,1410,808,1812,.446,210,617,.340,562,798,.704,306,1032,453,267,109,383,603,2013
Saint Mary's (CA),35,28,7,.800,14.51,3.31,2610,2203,1405,910,1939,.469,273,728,.375,517,713,.725,422,1199,502,214,98,416,612,2013
San Diego State,34,23,11,.676,13.01,6.19,2356,2077,1365,839,1916,.438,202,618,.327,476,697,.683,376,1144,425,235,155,410,497,2013
South Dakota State,35,25,10,.714,2.36,-3.27,2568,2300,1420,910,1938,.470,270,694,.389,478,627,.762,331,1125,506,175,78,365,492,2013
Southern,33,23,10,.697,-2.61,-10.31,2223,1890,1320,761,1757,.433,226,619,.365,475,689,.689,288,1035,376,244,134,359,562,2013
Syracuse,40,30,10,.750,20.30,8.57,2816,2347,1610,1007,2293,.439,233,696,.335,569,843,.675,560,1380,562,360,248,495,637,2013
Temple,34,24,10,.706,9.52,5.20,2456,2309,1360,851,1986,.428,243,740,.328,511,707,.723,381,1057,497,267,126,366,558,2013
UCLA,35,25,10,.714,12.88,7.82,2604,2427,1420,961,2131,.451,171,514,.333,511,706,.724,387,1165,559,283,127,391,526,2013
Valparaiso,34,26,8,.765,7.15,-1.13,2420,2119,1365,823,1699,.484,253,680,.372,521,713,.731,303,1008,467,232,114,486,586,2013
Villanova,34,20,14,.588,10.74,8.53,2307,2214,1385,732,1760,.416,204,617,.331,639,889,.719,383,1116,413,263,114,533,651,2013
Virginia Commonwealth,36,27,9,.750,16.89,4.47,2770,2323,1450,1010,2243,.450,281,800,.351,469,669,.701,479,1155,521,422,109,407,708,2013
Western Kentucky,36,20,16,.556,-0.65,-1.14,2409,2364,1445,837,1959,.427,226,709,.319,509,755,.674,441,1204,400,223,115,537,691,2013
Wichita State,39,30,9,.769,14.68,6.09,2720,2385,1560,954,2166,.440,259,765,.339,553,791,.699,512,1355,530,289,173,492,700,2013
Wisconsin,35,23,12,.657,18.76,9.73,2274,1958,1420,823,1960,.420,259,785,.330,369,582,.634,401,1202,465,200,153,334,491,2013
Albany (NY),34,19,15,.559,-3.31,-5.22,2239,2174,1375,765,1733,.441,163,453,.360,546,728,.750,343,1175,376,184,101,428,580,2014
American,33,20,13,.606,0.69,-3.25,2081,1951,1325,748,1527,.490,207,546,.379,378,535,.707,232,986,492,198,110,464,567,2014
Arizona State,33,21,12,.636,13.32,7.41,2486,2291,1345,836,1852,.451,268,688,.390,546,787,.694,281,1172,471,167,182,377,635,2014
Arizona,38,33,5,.868,23.36,9.04,2769,2225,1540,996,2123,.469,204,561,.364,573,870,.659,465,1449,574,223,173,387,630,2014
Baylor,38,26,12,.684,15.80,10.11,2843,2577,1540,959,2108,.455,280,725,.386,645,949,.680,525,1456,563,197,202,440,648,2014
Brigham Young,35,23,12,.657,11.63,5.72,2931,2706,1425,1012,2186,.463,177,499,.355,730,1055,.692,463,1432,544,251,103,395,690,2014
Cal Poly,34,14,20,.412,-1.34,1.69,2141,2163,1360,754,1850,.408,218,654,.333,415,603,.688,377,1096,394,198,93,303,621,2014
Cincinnati,34,27,7,.794,15.26,5.28,2325,1986,1360,805,1893,.425,196,585,.335,519,733,.708,457,1224,425,268,188,377,596,2014
Coastal Carolina,34,21,13,.618,-5.21,-6.31,2458,2326,1375,861,1969,.437,212,628,.338,524,758,.691,434,1336,362,216,96,473,668,2014
Colorado,35,23,12,.657,10.80,8.80,2457,2387,1415,814,1871,.435,181,569,.318,648,903,.718,401,1305,397,207,115,466,576,2014
Connecticut,40,32,8,.800,17.23,8.63,2873,2529,1610,971,2163,.449,287,741,.387,644,829,.777,387,1389,488,281,230,457,719,2014
Creighton,35,27,8,.771,18.03,7.17,2756,2376,1400,957,1927,.497,356,859,.414,486,654,.743,293,1192,614,139,49,342,618,2014
Dayton,37,26,11,.703,10.55,5.34,2671,2478,1490,935,2018,.463,243,644,.377,558,819,.681,414,1289,485,222,96,442,736,2014
Delaware,35,25,10,.714,2.73,-1.10,2782,2648,1405,936,2108,.444,252,727,.347,658,925,.711,385,1264,377,208,123,334,660,2014
Duke,35,26,9,.743,19.51,8.48,2745,2359,1405,929,2020,.460,316,801,.395,571,783,.729,410,1207,509,244,105,328,681,2014
Eastern Kentucky,34,24,10,.706,0.60,-4.34,2677,2411,1365,881,1810,.487,315,807,.390,600,798,.752,243,884,498,299,67,359,707,2014
Florida,39,36,3,.923,20.69,8.54,2727,2253,1560,945,2056,.460,255,711,.359,582,871,.668,437,1385,509,274,118,418,611,2014
George Washington,33,24,9,.727,10.60,4.42,2415,2211,1324,839,1812,.463,187,514,.364,550,845,.651,394,1229,461,235,135,428,595,2014
Gonzaga,36,29,7,.806,15.56,5.36,2761,2372,1421,972,1963,.495,255,643,.397,562,793,.709,343,1291,525,235,142,419,659,2014
Harvard,32,27,5,.844,10.79,-0.47,2343,1952,1300,786,1691,.465,184,478,.385,587,811,.724,335,1092,449,243,155,365,566,2014
Iowa State,36,28,8,.778,18.52,9.88,2989,2678,1465,1062,2239,.474,301,840,.358,564,814,.693,375,1387,663,214,106,380,623,2014
Iowa,33,20,13,.606,18.58,7.43,2689,2321,1339,919,1984,.463,191,546,.350,660,898,.735,447,1332,532,234,164,371,603,2014
Kansas State,33,20,13,.606,12.14,8.47,2280,2159,1335,798,1840,.434,198,598,.331,486,741,.656,406,1180,503,205,98,404,714,2014
Kansas,35,25,10,.714,20.25,11.40,2764,2454,1410,955,1937,.493,189,556,.340,665,935,.711,416,1336,523,204,196,463,732,2014
Kentucky,40,29,11,.725,18.07,9.90,2992,2665,1615,1004,2213,.454,203,611,.332,781,1146,.682,562,1607,446,189,236,469,732,2014
Louisiana,35,23,12,.657,2.91,-0.28,2835,2633,1430,988,2127,.465,246,670,.367,613,913,.671,464,1329,472,250,144,459,734,2014
Louisville,37,31,6,.838,24.69,4.80,2998,2262,1480,1051,2232,.471,288,783,.368,608,920,.661,503,1396,568,370,173,391,723,2014
Manhattan,33,25,8,.758,6.04,-0.90,2540,2311,1350,828,1837,.451,208,564,.369,676,1019,.663,415,1234,433,273,200,468,799,2014
Massachusetts,33,24,9,.727,10.61,6.00,2502,2350,1325,900,1962,.459,177,512,.346,525,769,.683,404,1267,499,226,178,446,649,2014
Memphis,34,24,10,.706,13.02,7.14,2614,2397,1370,958,2009,.477,182,552,.330,516,801,.644,427,1268,591,294,159,449,612,2014
Mercer,36,27,9,.750,5.33,-3.42,2836,2410,1492,982,2061,.476,290,756,.384,582,791,.736,407,1338,586,211,147,420,665,2014
Michigan State,38,29,9,.763,19.35,9.38,2870,2491,1535,1024,2159,.474,307,783,.392,515,728,.707,395,1400,637,259,174,430,721,2014
Michigan,37,28,9,.757,18.52,9.65,2736,2408,1490,945,1982,.477,319,794,.402,527,691,.763,316,1160,525,191,88,336,527,2014
Milwaukee,35,21,14,.600,-1.53,-0.44,2465,2469,1415,808,1888,.428,245,754,.325,604,823,.734,343,1182,476,200,85,469,630,2014
Mount St. Mary's,33,16,17,.485,-6.32,-4.44,2504,2566,1330,843,1923,.438,296,834,.355,522,706,.739,328,1053,389,232,99,388,616,2014
Nebraska,32,19,13,.594,10.13,8.50,2137,2085,1280,719,1684,.427,188,564,.333,511,713,.717,278,1059,304,222,99,349,660,2014
New Mexico State,36,26,10,.722,6.16,-2.58,2771,2415,1455,936,1918,.488,194,523,.371,705,1027,.686,428,1346,474,169,224,457,614,2014
New Mexico,34,27,7,.794,12.72,4.84,2516,2248,1380,847,1851,.458,197,593,.332,625,863,.724,360,1296,522,162,172,361,577,2014
North Carolina Central,34,28,6,.824,3.97,-8.03,2513,2023,1380,847,1832,.462,184,545,.338,635,872,.728,403,1197,500,262,137,389,660,2014
North Carolina State,36,22,14,.611,9.02,7.44,2561,2504,1460,950,2060,.461,160,525,.305,501,762,.657,422,1239,466,173,149,375,670,2014
North Carolina,34,24,10,.706,15.24,8.42,2604,2372,1370,953,2057,.463,146,434,.336,552,882,.626,483,1350,523,249,161,406,690,2014
North Dakota State,33,26,7,.788,6.31,-0.02,2492,2164,1325,888,1759,.505,176,483,.364,540,719,.751,307,1081,382,206,145,325,588,2014
Ohio State,35,25,10,.714,17.84,8.12,2432,2092,1410,843,1875,.450,200,617,.324,546,793,.689,346,1187,421,270,157,394,577,2014
Oklahoma State,34,21,13,.618,19.02,8.34,2728,2365,1391,898,1941,.463,239,656,.364,693,964,.719,332,1203,463,260,160,356,680,2014
Oklahoma,33,23,10,.697,14.91,8.97,2704,2508,1335,909,2034,.447,285,752,.379,601,802,.749,398,1242,483,224,108,376,625,2014
Oregon,34,24,10,.706,15.75,8.05,2783,2521,1385,928,1977,.469,259,666,.389,668,865,.772,356,1159,492,263,113,389,725,2014
Pittsburgh,36,26,10,.722,17.46,7.54,2586,2229,1466,895,1944,.460,183,522,.351,613,861,.712,432,1291,563,254,107,373,620,2014
Providence,35,23,12,.657,11.37,7.85,2566,2443,1450,849,1984,.428,218,628,.347,650,831,.782,432,1278,476,194,173,406,603,2014
Saint Joseph's,34,24,10,.706,9.05,5.08,2433,2298,1365,840,1789,.470,250,660,.379,503,780,.645,319,1218,476,151,154,409,544,2014
Saint Louis,34,27,7,.794,11.63,4.24,2374,2105,1375,829,1869,.444,190,601,.316,526,755,.697,345,1231,482,253,138,431,597,2014
San Diego State,36,31,5,.861,14.95,4.86,2530,2052,1450,873,2009,.435,186,519,.358,598,902,.663,470,1364,356,274,183,355,600,2014
Stanford,36,23,13,.639,13.42,9.00,2616,2457,1445,896,1950,.459,208,571,.364,616,877,.702,347,1257,415,191,154,409,655,2014
Stephen F. Austin,35,32,3,.914,4.82,-6.76,2661,2219,1410,922,1992,.463,248,718,.345,569,800,.711,451,1186,574,257,104,393,730,2014
Syracuse,34,28,6,.824,16.05,7.25,2311,2012,1370,819,1873,.437,167,505,.331,506,715,.708,446,1200,402,271,171,306,546,2014
Tennessee,37,24,13,.649,17.34,7.84,2672,2283,1490,927,2048,.453,205,631,.325,613,852,.719,501,1424,472,192,172,388,617,2014
Texas Southern,34,19,15,.559,-8.41,-10.07,2584,2512,1380,857,1854,.462,217,603,.360,653,910,.718,386,1246,476,155,124,454,561,2014
Texas,35,24,11,.686,12.67,9.15,2598,2475,1405,905,2095,.432,178,545,.327,610,909,.671,528,1449,452,199,206,426,669,2014
Tulsa,34,21,13,.618,6.23,1.17,2471,2299,1370,835,1899,.440,197,603,.327,604,894,.676,368,1231,427,232,127,394,725,2014
